RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31
394338,121,"Asheville, NC",msa,NC,251681.0,253552.0,252217.0,257053.0,258816.0,251686.0,253574.0,254853.0,267266.0,268463.0,273146.0,275122.0,273388.0,273667.0,272084.0,276474.0,278767.0,281394.0,281933.0,283581.0,283383.0,284255.0,284407.0,288068.0,296704.0,304573.0,310906.0,313093.0,317171.0,320154.0,323154.0,326728.0,334797.0,344647.0,349204.0,347909.0,349761.0,353036.0,356542.0,356174.0,360149.0,360783.0,359449.0,361461.0,368371.0,383505.0,392865.0,399017.0,398777.0,400134.0,395554.0,387948.0,381174.0,374722.0,383531.0,384968.0,394740.0,395193.0,409164.0,421524.0,421621.0
395244,122,"York, PA",msa,PA,175331.0,172800.0,171100.0,169674.0,172859.0,175076.0,174572.0,173879.0,174683.0,177348.0,176045.0,177114.0,175268.0,179895.0,179557.0,184265.0,183945.0,185023.0,182892.0,181335.0,187372.0,193021.0,196630.0,196236.0,193424.0,194331.0,193380.0,198003.0,199394.0,201679.0,199573.0,197962.0,197497.0,197037.0,201293.0,205068.0,210921.0,218515.0,220202.0,224470.0,219171.0,216534.0,214365.0,218813.0,221589.0,225270.0,230489.0,234878.0,234369.0,229675.0,230254.0,229771.0,233153.0,237165.0,242228.0,243777.0,246026.0,249813.0,256326.0,257441.0,259082.0
395183,123,"Vallejo, CA",msa,CA,432743.0,431799.0,429990.0,429543.0,427931.0,422617.0,414314.0,418528.0,424834.0,430152.0,430306.0,435489.0,439099.0,439544.0,439646.0,438004.0,443535.0,439463.0,448142.0,446954.0,458495.0,453764.0,459227.0,458010.0,467090.0,473752.0,474351.0,478266.0,479100.0,489678.0,495807.0,502520.0,508855.0,521020.0,533102.0,545930.0,550299.0,553210.0,557533.0,565638.0,571808.0,572658.0,575863.0,579405.0,593799.0,596287.0,600940.0,584317.0,573932.0,568843.0,568685.0,567113.0,561556.0,569196.0,567755.0,567264.0,554527.0,563236.0,563494.0,567095.0,563952.0
753917,124,"Santa Maria, CA",msa,CA,514691.0,538567.0,560589.0,575656.0,564063.0,575693.0,566215.0,563077.0,551452.0,550741.0,554864.0,548348.0,559723.0,554064.0,559826.0,572192.0,578109.0,588822.0,584090.0,584255.0,562913.0,541596.0,545945.0,578471.0,631831.0,689131.0,744350.0,773021.0,761745.0,715032.0,735090.0,718159.0,751967.0,726567.0,750187.0,728445.0,729364.0,712339.0,734694.0,733852.0,734732.0,729218.0,732350.0,778382.0,799630.0,814314.0,802689.0,797210.0,782938.0,753289.0,745078.0,727740.0,745925.0,730755.0,738322.0,732008.0,760673.0,781240.0,791770.0,800229.0,802146.0
395050,125,"Salinas, CA",msa,CA,579573.0,585714.0,585194.0,606798.0,606540.0,595210.0,589833.0,576643.0,578579.0,584219.0,582179.0,594374.0,591046.0,620616.0,616690.0,637213.0,631430.0,645226.0,643089.0,641804.0,624435.0,606764.0,609624.0,648942.0,704256.0,743320.0,761995.0,766348.0,756546.0,749628.0,740532.0,767082.0,768422.0,769632.0,759908.0,759430.0,774842.0,770721.0,793250.0,777897.0,805982.0,802943.0,823429.0,828257.0,834427.0,833449.0,814323.0,822082.0,802713.0,810084.0,787885.0,789086.0,775030.0,793815.0,784846.0,805460.0,792825.0,809935.0,783258.0,795945.0,824043.0
395048,126,"Salem, OR",msa,OR,287371.0,287700.0,283918.0,279821.0,282449.0,282555.0,283300.0,284372.0,287685.0,288941.0,291195.0,292439.0,295532.0,293615.0,295483.0,296928.0,301383.0,302741.0,306072.0,310956.0,315651.0,315163.0,315592.0,319170.0,324702.0,330432.0,335528.0,342172.0,347418.0,350046.0,351827.0,356707.0,361383.0,368386.0,374057.0,382142.0,386749.0,387860.0,390688.0,394699.0,397833.0,397517.0,402366.0,409910.0,419502.0,422673.0,422522.0,425359.0,426941.0,430601.0,425054.0,422031.0,416241.0,413751.0,413864.0,410446.0,413811.0,413655.0,422490.0,423695.0,430180.0
394870,127,"Mobile, AL",msa,AL,138594.0,142327.0,144758.0,144262.0,142810.0,142393.0,144054.0,145311.0,145764.0,144083.0,144932.0,147826.0,149427.0,149811.0,150192.0,152535.0,153024.0,154424.0,153326.0,155001.0,156600.0,156532.0,155408.0,154851.0,161203.0,167037.0,169177.0,170270.0,169258.0,172499.0,173027.0,177022.0,177618.0,183396.0,184655.0,187768.0,188129.0,191381.0,192886.0,195959.0,197625.0,196152.0,192144.0,192035.0,200736.0,205139.0,203857.0,200132.0,196758.0,197219.0,199917.0,202715.0,205122.0,200981.0,199623.0,202151.0,205201.0,209670.0,210678.0,215643.0,217229.0
395015,128,"Reading, PA",msa,PA,159617.0,161984.0,160284.0,160789.0,159272.0,160677.0,160816.0,162112.0,165503.0,164635.0,167297.0,166163.0,170685.0,169548.0,172174.0,170401.0,174494.0,171473.0,177311.0,178108.0,187326.0,186686.0,184636.0,181450.0,181620.0,186074.0,187311.0,189764.0,189713.0,193586.0,198083.0,196711.0,190836.0,187060.0,195433.0,199929.0,202513.0,203179.0,208878.0,211915.0,212387.0,213511.0,214933.0,211844.0,215208.0,216057.0,224809.0,217978.0,219462.0,215839.0,222602.0,223285.0,227676.0,224857.0,230284.0,227597.0,234350.0,236435.0,248004.0,255569.0,256034.0
394502,129,"Corpus Christi, TX",msa,TX,193098.0,189057.0,186937.0,186704.0,190576.0,191658.0,189726.0,189045.0,188444.0,191013.0,194561.0,197977.0,196938.0,194364.0,193682.0,192510.0,199070.0,195944.0,200430.0,200071.0,204209.0,204220.0,206610.0,214918.0,220432.0,225810.0,223427.0,225127.0,226280.0,229212.0,232675.0,236970.0,244992.0,244083.0,244627.0,241691.0,247531.0,248859.0,251628.0,249474.0,250531.0,259325.0,262056.0,262626.0,262614.0,269889.0,278471.0,277326.0,277715.0,272957.0,271355.0,263675.0,261716.0,258070.0,258449.0,261931.0,265275.0,271704.0,269906.0,272321.0,268190.0
394421,130,"Brownsville, TX",msa,TX,136586.0,143283.0,140559.0,139435.0,138834.0,142055.0,145334.0,145672.0,147278.0,155227.0,152210.0,154990.0,163493.0,172967.0,175096.0,160258.0,160173.0,157439.0,168682.0,170570.0,172069.0,168845.0,169354.0,173523.0,171485.0,168687.0,164908.0,172031.0,174145.0,184500.0,179634.0,182860.0,181487.0,195425.0,200540.0,205263.0,204094.0,209825.0,211925.0,210075.0,205465.0,207060.0,214499.0,223571.0,222483.0,226634.0,238328.0,235094.0,237670.0,229293.0,237667.0,234832.0,228528.0,237301.0,234572.0,238585.0,230687.0,236315.0,234927.0,250064.0,239975.0
