RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
91982,1,77494,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,210998.27485545012,211181.402299473,211670.74073059086,212659.0986891091,212694.45208593455,212540.12738796184,211778.1122460408,211810.9460269569,211579.9424724476,211955.77199162854,212821.50835051728,213988.64787585937,214705.67018640813,214410.37816302732,213698.04582258395,212934.316223686,213614.17631609435,214880.47307411223,216062.0012673007,216649.7574406291,216560.67512133493,216579.48723801642,216265.68753533892,215519.4971681592,214875.22377159365,214427.67234202052,214835.8079732719,215412.55974746202,216350.18443781557,217178.67661994326,217357.5234625827,217036.1855368924,216049.28041267858,215387.53036808386,214652.62084629803,214987.17667827508,215948.49624461067,217229.3976639605,218090.2601298924,218555.76081534298,218859.86547698057,219379.13156823875,219928.29600329025,220621.43960031876,220767.51004783227,221032.54422801666,221100.9437476894,221637.73208817106,222482.85440335018,223592.31172273392,225014.43020338842,225833.82243026,226489.58294113094,227089.9277877385,227882.4509187547,228924.6038292098,229813.3296960333,230808.03164752902,231805.06837265202,232592.59413257716,233552.03011134407,234629.8941736838,235513.455487564,235787.53262906545,235404.30409329545,234916.46333769706,234621.61870205085,234183.51535679775,233649.97117314092,233153.9459132844,232812.83602142264,233068.47856568292,233630.0648127071,234355.36997186719,235060.02461616136,235553.86892547086,236137.6899317247,236658.15992412428,237273.79875425063,238343.52227058532,239357.9982342692,240126.76315363517,240350.60383849274,240842.2120062779,241551.85244859304,242204.96406977237,242514.94734762865,242663.76358064372,242940.1702310463,243199.805717009,243766.26549176595,244791.49819888594,246040.55405454608,247230.53576684228,247951.82991867862,248885.4026529075,249237.43655566304,249393.23276999252,248840.18377173934,248342.41695604086,248131.76991449494,248391.82638025237,248978.03491251217,249221.32268577025,248910.4953404892,247769.20443569846,246433.8129708562,245383.40636925038,244882.55664290753,245340.70315197323,246194.71977483408,247361.91346593518,247807.95722757137,248155.154509161,248642.15333693605,248986.55008982518,248910.00944676265,249126.3718330623,249859.66649288766,250865.02356300154,251781.40341427553,252939.64058539944,254779.29819176707,256378.47718888265,257660.8444508571,258227.4479079394,257861.96608441183,256900.49625516488,254645.71749098875,252489.68154698986,250501.10684295624,249560.23161751716,249442.39488812315,249495.86348970365,249271.20952227063,248740.68385116904,248111.50617482062,247964.97704726947,247766.7542798445,247165.5880115136,246615.6994020473,246133.04319310948,246272.68281604376,246137.81200550808,246810.66897446918,247863.7856541836,249360.8968920603,250420.3203230016,251192.92605589598,252080.43831426286,252939.79704830292,254066.73251810283,255121.58828735413,256177.09253393157,257221.39657484996,258076.01771474743,259258.99103853756,260548.43380490015,262309.4972661441,264212.1856409498,266458.61381112674,269226.93306574976,272352.1117368894,275836.32764372096,279530.0378252909,283179.2354218709,286589.9461826901,289249.67577812244,291357.0708735246,293067.0271413757,294907.69179330283,296737.72586993413,298461.15054331865,299818.2335860711,301389.0687350833,303639.7728792091,307182.70851459465,310749.7138188219,314178.4286657427,316502.90774843824,318926.2746131371,321102.53512885905,323427.8270705096,325256.89052807353,327024.5429464788,328233.45027783775,329193.3188521453,329695.5840055552,330436.5503705588,331148.9467761465,331708.631548272,331585.3428973744,331257.6323765297,330476.8815991108,329315.5100106985,327708.451926457,326418.4290254859,324945.0511683724,323791.15363234124,322241.41051026084,321336.6480363467,320542.53361307905,320386.8994657549,320357.03953959333,319977.6858663953,319266.9545802331,318587.2552965987,318924.3926002675,319376.9443577349,319606.05920206424,319195.12505364214,318950.22953218897,319135.9746363187,319659.69739509147,320095.1782031788,320620.2159466713,320921.94284441526,321011.7714789913,321396.1233462006,322064.1880737289,323206.50397320767,323861.2640264299,324439.1542593765,324620.9909550086,324951.42646311707,324905.5512633769,324988.88048986247,325068.97174214554,325426.80794350925,326034.40189932665,326639.7613463122,327202.3260533931,327434.94835095335,327372.9720850962,327027.66020703193,326520.7118085985,326408.21819042927,326591.73467499553,327221.541824841,328069.34466695396,329267.92146108276,330503.7129559321,331502.78331482067,331961.7785709424,331865.1922578725,331569.4880024588,331623.5737108518,332531.1241643943,334499.23897039174,337277.34943332034,340894.290515146,344904.5667800818,349388.27287279733,354402.6232079845,360250.8553529512,367101.32207657513,374850.27932528016,382906.6261151635,390482.0986787007,396979.3969249532,402356.53004332626,407508.1978275439,413266.0327868645,419333.53910823347,426679.50243183324,435087.25650373736,445667.2584169042,457362.09676831914,469229.4369920944,479602.03055778967,485765.60348964715,486987.3269705497,484675.59827348404,481742.1528450195,479524.74808647315,477993.9802646018,475781.2300893005,474477.9612773691,473439.82711138885,474653.5243483807,476661.9840565755,479794.9362712559,482597.3240089581,485083.0565935525,486910.1147263074
61148,2,08701,zip,NJ,NJ,Lakewood,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,138236.10622046096,138806.64568639462,139192.26923094105,140169.2126206859,141185.58965799818,142377.52164059982,143479.10239428733,144641.4611398129,146092.77170330347,147788.44310609341,149551.22766072443,151074.45021332466,152414.9865961871,153889.65619058363,155542.08819162,157195.37377247328,158536.823454539,159781.3802012418,161247.5145187861,162987.2949695396,165067.838058421,167033.5082426551,168673.70898424688,169859.30209907494,171086.44000804014,172637.0586397101,174437.87474880487,176481.20313942755,178519.78599621778,180891.22290907442,183567.70031518504,186746.39287003267,190688.28692065578,195217.51539490055,199869.0351945362,203601.1509466262,206666.80847958106,209611.14207561352,213099.8306828288,216578.30533118863,220049.8173076002,223357.0476653704,227264.10841891714,231140.33424444715,234476.2173196396,237263.01636211076,239938.40928808018,242808.63587686722,245766.5283896059,248373.15965668744,251241.70180260894,254657.85191255808,258800.09987330754,263015.8544589505,265978.9325091573,268325.89893797674,270685.7425902275,274102.57001507253,277973.3696767146,281427.4481694279,284390.1940352091,286618.4170565652,289519.0182464853,293093.7147712342,297306.78180553176,301201.55420937366,304197.1028463054,307097.4024848713,309502.32637233293,312319.2526449469,314928.4677664214,317818.58398725605,320446.85998082696,322741.23114434135,324757.2275475534,326680.71709348384,328694.17902291147,330543.24398065737,331721.4856160984,332240.36036999867,331908.7921509304,330934.17824861157,329178.88315533445,326872.1833977411,324241.46514856396,322261.70244390744,320588.49131521845,319395.88380786806,318388.65737689217,316912.28229616553,315316.886570138,313397.59493086254,311517.59754481894,309316.0435621839,306119.31534615625,303158.39493284584,301609.6850520145,300986.2939098479,299811.6573465673,295930.4460657565,291292.1819806592,287415.5934798398,285086.41562494816,282949.5577435385,280461.12490997626,277583.97607780027,274675.83317173505,272394.7994904329,269842.23621042393,267051.2764526513,263528.94610642904,260943.72772778154,258625.47743570592,256715.6155569587,254702.90620751082,253250.2581409505,252088.6013749919,251620.89253196618,251391.74261366075,251475.1050979077,250991.0928875005,250702.8704417733,250470.9939516698,250562.76666342295,248174.8874736315,244572.4947851879,240256.12455885773,238080.56742402256,236461.48572504218,234918.64923522982,233463.10314037107,232530.3984526171,231993.2585983134,231207.28035527247,230322.42315400738,228683.84812360723,226647.31446354103,224157.38609433602,221505.03032641602,219344.15178498757,217596.87501033,216769.6213971281,215659.6686749574,214340.40646583113,213311.61253423747,213200.31634232143,214077.1601156329,215056.6804699964,216603.55305368206,218370.2203005733,220243.9771964522,221412.85621114436,222137.442064345,222393.4985568178,222873.59290060695,223593.81832554154,224768.76562759638,225691.29982512133,226238.33583893543,227098.16734371078,228746.59154901747,231453.27165097673,234410.03378923316,237290.4622685703,239673.6827474305,241331.08870883237,242815.2080097679,244092.4214545157,245557.07452907893,246734.4056395292,248503.21552220322,251072.95014257543,254359.01075580672,256804.32374236966,258346.85482295798,259462.50080390228,261001.80106906523,262840.7823647641,264426.6788395832,265683.82039987977,267219.3323113995,268986.2659190989,271095.15696086775,273222.9222121879,276152.30895718944,279432.165117211,282895.3049182491,286351.2438805395,290214.8706993061,294006.4737483002,297953.38795594586,301455.4140268765,304998.30208984535,307888.3404465415,309778.6028630056,310942.5129242777,312292.8566949779,314148.0023436653,316085.0518090404,317259.5224498258,317579.2020016508,317403.9271718182,317722.34436322394,318880.0215148023,320847.3926019934,322742.37540642545,324309.71895869914,325387.9844155594,326333.26538026374,328791.4058443192,332272.79811984434,335563.0794412754,337681.0397430322,337859.70297493675,337607.58691086876,336637.2789184184,335955.34707230516,335084.45772088424,334783.0392660987,335291.735938486,336764.7080365536,337791.31824675604,338896.48500875424,338960.71651063184,338768.41796370246,338212.52683204185,337730.90802102175,337705.7204647705,337462.5539694881,337523.03100827493,337253.0357261653,337340.60072526196,336997.772137245,336948.73188999476,335902.01048641425,334817.81355839496,333533.01391928224,333392.34006526467,334446.84383490594,335472.3921560904,337073.5405361664,338573.8206333358,341351.77527122694,343115.1491276482,343610.57845159835,342369.07111082453,341554.483818542,342093.7560226123,344744.42511200404,349049.57024079683,355021.63296339754,361597.58482553624,367384.9031790166,372237.0462753298,376509.35039780237,382133.43080842216,389122.4309596624,397264.31042729056,404332.8601828141,410603.55412919103,416259.35925613117,423088.37158337625,430651.992460753,438185.53463513515,447713.6106150255,458694.89109344484,471594.29096584435,483279.84217842825,493819.04815898347,503736.6403455146,511500.1346793593,516662.089211727,518927.13564482896,520852.1538735286,523677.13114729774,526688.4965338343,529065.6551335786,531291.205372691,534197.368329462,538377.145098664,543770.9096593409,549747.786643346,555895.2804688726,561828.2001373885,568194.4984225575
91940,3,77449,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,103318.63016007098,103332.90657988434,103206.08433098621,103196.38210543524,103243.49103335344,103435.1682799852,103622.88105771325,103860.08302810598,104218.14826675016,104510.48563045119,104909.31366103706,105301.9961029993,105379.26070187513,105207.71415303054,104739.40200360569,104497.34288996975,104493.32934044307,104624.96691891454,104785.93342845445,104703.08193375751,104729.68474090302,104865.1899845702,105102.23238760458,105249.17207365761,105310.29154638418,105395.30466457963,105760.62504963024,106292.86924683675,106836.18263836065,107287.99492468951,107777.03883660317,108412.385902391,109037.24007873338,109601.9401814285,110002.75576634856,110341.9493368623,110572.36243264878,110743.13766660879,110974.21428905979,111282.2586588268,111677.15685535288,112004.003426903,112292.22659094923,112548.51688780996,112742.1889057585,112910.75745882459,112944.60351382103,113004.21160279482,113136.05047007119,113826.29501416074,115087.67375188107,116248.09547376102,117342.73915050081,117788.51385166058,118598.24257706315,119116.49130976114,119688.29407453472,120023.47487279614,120494.51631264266,121192.7676829117,121896.92894363248,122454.22705652898,122771.64643088299,122962.90403649234,122876.78698669198,122784.96598096681,122586.14469931061,122378.41667284661,122050.96285736561,121646.91423751814,121463.83589209888,121299.04688383192,121233.45289172635,121013.90361440624,120941.30591852918,120908.47974448542,121136.50834488578,121484.62512921043,121922.3902555781,122409.75921128098,122926.83683691193,123727.59421203227,124421.18581272358,125193.46384333707,125516.676534135,125544.57654445355,125282.30484281814,125408.74013226136,125898.05809039075,126578.07942709058,127088.44396946672,127631.804825135,128145.79663457425,128548.97456056108,128740.26843777233,128751.01847476512,128255.39564210655,127509.2789707022,126736.85166768204,126299.62275678352,125872.48949925648,125421.18544174828,125002.040942296,124323.94343105734,123355.52735914868,122322.51302332764,121346.55694387663,120280.88839278976,119199.74686440128,118606.11522258184,118365.10264767818,118351.67783585399,118382.6279794642,118548.1334542758,118906.61190347983,119145.1144332215,119301.08119759629,119193.32521588309,119229.36204288782,119428.56112810205,119539.37150848149,119612.32391710083,119787.64850399381,120211.01260462792,120574.50070501288,120598.87100628599,120006.88121028873,118892.66903791706,117801.02949688405,116918.37508603849,116358.5976491366,115890.58035652638,115390.87463627006,114714.1332742023,113715.5032121853,112676.38002504029,111874.01829741418,111327.41086745531,111092.67351939146,110961.99229429798,110721.61829316853,110276.08249203216,109309.87958687043,108326.451403266,107725.8847231656,107650.18688412709,107740.10125386792,107832.21605508437,108076.799052099,108558.51048026553,109045.26014700695,109563.97851630698,109979.45920065034,110387.29752852752,110770.04076403369,111006.4017639665,111377.58274698381,111826.53839026786,112799.73199457908,113926.07357491607,115327.04803662632,116847.472627983,118597.34868582984,120490.88785513618,122269.32386354904,124059.45063966296,125690.33738528802,127164.31347404228,128496.4948328405,129925.19942596885,131398.89966913348,132746.38487147968,133844.07591408593,134873.71210678702,136032.78643152807,137331.1935595379,138686.4437664233,139940.86139482632,141464.65913677277,143048.75452811408,144867.30381102735,146494.3593247428,148183.62819018928,149669.70897630358,151023.72340521193,152306.0355845949,153534.18220029207,154912.52790639014,156234.11528844884,157542.23524595753,158766.04776649628,159960.66465284166,161161.08431689613,162276.84187914743,163237.802682495,164245.7066680497,165133.17137217007,165986.8027869166,166589.35628023723,167139.3802841728,167717.21636481854,168332.77416182068,169068.5441790462,169799.51850866128,170416.9481063566,170802.84391965333,171221.2744379183,171646.78088222418,171951.9921388959,172293.3565923405,172559.03383158732,173024.25219949335,173381.4403220899,174036.72507402182,174936.79964751223,176000.08540092644,176999.28821673393,177757.81713204796,178506.71155232852,179159.7209397227,179813.85800492662,180367.99612989943,181081.5943150397,181828.77200900568,182741.35829875452,183624.11584454848,184526.2327102865,185372.14516565984,186218.03424385047,186965.24926234,187573.92538427518,187951.97467904838,188261.9591047898,188541.1618710556,188872.49292250365,189292.55006670754,189728.95043815998,190277.05989864608,191045.0684253273,192053.4802087698,193051.53329898513,193755.94080279698,194267.09483805124,194560.42341197457,194593.0181564741,194645.10407632403,195001.16654360286,195928.5473993882,197337.78418841507,199300.9681312708,201838.1027440834,204549.1058388163,207288.72065215997,209895.95926669324,212704.6241691973,215814.6775117714,219603.5573689715,224038.2785721588,228277.44370392276,231915.82601308753,234979.51678429963,238298.61807530397,241992.45923072242,245866.0960175367,250733.0415087034,256424.94078749957,263028.5882408391,269651.99328730034,276050.0216645275,281852.361507681,286091.6917617027,288126.04689238,288292.22139019985,287299.4818445072,285916.7650395182,283864.94836472865,281434.77694157645,279092.67905800237,277234.960534534,276040.33790899086,275560.59026799566,275939.45137232356,276700.18817990314,277596.6550011825,278130.31210032065
62080,4,11368,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,149035.5580300883,150516.8200470185,151629.42470285445,153486.5911119056,154818.50417301178,156267.10032049692,158075.99801096693,159909.1776642761,161860.16621861086,164310.56741528647,167087.55051353652,169602.5301394146,171785.8076512144,173850.89581143213,176195.57384999175,178688.6583338074,181074.2633240614,183178.22266001208,185152.55849519896,187020.91235293317,188716.34005243913,189932.62426730283,192066.59067683108,195107.67916526762,198623.1980476523,201477.8159673313,203598.45059524043,205477.3262571448,207040.18028881715,208826.78080371735,210701.58743805604,212746.75543898917,214720.750090084,216596.54712082795,218243.7803464371,219658.510840202,221011.02450141698,222489.54766710624,223879.70871593643,225254.1783360178,226532.0208838527,227011.16467088016,225956.60126620592,224140.48483055536,223660.0258067335,224810.64675868442,227230.3563045155,229014.66553544873,230525.23785927286,231404.2736627301,232248.9346026037,233354.66921267993,235166.88182448526,238103.48843872044,241764.8495409003,245337.33702543165,249002.80740368136,252602.95868710327,256685.91028737146,260403.06801821222,264109.14303463255,267957.4702190529,272288.10276717594,277446.2385333707,283169.5440459792,287318.84702190687,292419.55976496293,297468.61511136795,303732.51305606076,309182.2132800805,313868.3829646934,319370.8150158646,324276.205710276,329362.32549124135,334225.4593913045,337973.86241075705,341747.73351257487,344101.010742363,346205.3705333721,349253.4607372632,352140.5561148485,352715.5353316837,348996.4029074454,345704.88223541033,344298.7781938613,345379.29009090504,349261.6940360752,352076.1554198837,355052.4385009009,353732.5841400397,352634.5357401444,351657.87735502166,351912.03667223355,354317.2511118951,355549.3358307861,356866.6841772205,355799.3414411934,353716.635999145,349554.01775098516,346392.61366923526,344315.14164943295,343597.3537588686,342728.31118470343,341303.3428556718,337993.2553449368,335029.17548317247,331622.90055853577,324366.2400875069,313603.9245455503,302220.4460823813,295573.97323727765,292472.070256474,290341.68808225374,288708.3798951742,286162.2426276868,283673.9006529683,281530.92424102384,279718.61128274904,279036.62989302125,278551.19729439303,278412.11507557513,277342.5824532602,275687.3914327673,274460.57572539203,274054.4074096342,275087.8281377818,275715.8078391827,276533.5223640851,277734.0566160372,279780.2648858978,280743.75295328064,280481.5923648485,280421.3866660019,281042.09306198574,281562.4861317399,281163.1153882304,280635.6928563717,280652.83272977965,281063.8142868729,281724.93826941366,281350.3402242321,280325.81469942885,278957.2600156586,278484.36414985,277792.3943385151,277200.5306146391,276629.7365660136,277061.51225964533,277834.22581618483,279574.1324053011,282793.84878387366,285483.84943913907,286514.7136616087,285381.31955934624,284702.62585005333,284697.1487631942,285146.8119989495,285268.8759825575,284748.908852807,283780.4906606309,283358.86932413414,285663.5670240758,290117.42101966,293669.6150661831,296495.2939853045,298888.6673848907,302708.3562096454,305236.53086459305,307746.12423189834,310121.20728870423,312712.6445425419,314389.6371485957,317183.1985584241,321237.39811679634,326309.9245365229,329495.16112205776,332307.5294351807,335517.11771902675,340150.8847501495,343316.6998911951,345725.384059367,347105.700662025,349384.28613959573,351416.67400765,353472.9050929169,355067.68503908993,357868.58306977345,361969.74448392703,367462.80232650944,372187.16593597736,376198.79089121375,381325.8814449145,386832.8784567363,392934.8465887024,396878.98496474465,400786.1761040592,403863.43729606253,407165.1584674484,409129.09405095456,411252.23150108854,413613.6348922664,415687.1931763753,418357.4386204499,421944.48926947237,426273.1613989117,431825.3475968703,436842.3196405919,443483.96320875554,446793.37338465545,448894.05861539673,449147.38211279246,451236.9101855219,451385.8347538349,453429.20791463746,455968.28617277293,462279.67894309043,468940.0045334722,474530.10686698736,480601.9033647192,484994.2561580406,488953.40807525534,490411.6434219351,491284.43167458446,492772.00707345636,494736.47715524305,495742.74230553635,495169.6826443568,494257.93900041044,496514.5469450336,501057.991301047,507025.6479546595,510688.79815511015,513927.2866950729,516495.94630070217,519468.6803446321,521684.5623305991,522734.13984523,522662.5092671158,524379.5543662441,526944.736221217,528542.5228271843,527607.2854540265,524614.2574017823,522621.8063355748,521731.35817372723,520730.26363249123,517030.4092081406,510723.62179316883,505281.62281415315,503439.8664638803,503982.08087646257,506600.4310167905,509314.5567436286,512472.10453614587,514495.23086902616,513885.8996818084,513614.3531353972,512509.10308743484,513988.0701065208,515547.23427214776,517859.7501278703,520512.54054529266,522071.29668518325,522232.34189523896,520055.1261915046,517877.1223337206,516811.38398049196,517202.1376312147,516569.90481636795,516695.2554434661,516713.66806526756,515166.78072012094,511940.989987645,508433.8939643924,506916.15610488254,503622.5677160567,498054.569558145,491140.64190017246,484774.6255460191,478103.6508345843,470951.34310150304,465519.1575780813,463684.2830591186,463678.29565416306,463117.23084920476
91733,5,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,101939.03337448511,101896.28117982238,101715.26358050224,101632.56322332013,101607.96222152915,101744.19443348951,101842.70684075484,102030.64791084333,102389.78925177942,102748.00153817923,103230.70238797332,103764.48569289288,104054.32164887834,104094.00513545574,103730.16091422946,103471.22917692624,103373.76802096011,103457.83249084612,103682.89932206525,103694.069924206,103821.21920161368,103965.55750092142,104228.16433992468,104387.65624049066,104480.72486589076,104636.770507027,105035.81073920015,105624.58543014071,106239.3508097998,106782.75412122569,107228.68107525939,107699.40287471005,108077.6846961556,108416.33280486654,108609.51528424995,108827.37942161506,109041.84356584844,109245.49553173273,109497.19484327898,109740.59868188085,109956.35065780768,110084.89655258502,110256.36902026673,110620.29912875309,110948.31505843105,111303.58775974739,111475.52592202644,111667.98953995881,111874.25709425546,112604.82643681958,113969.71726162366,115185.43922822723,116252.04372138047,116532.00911530794,117237.244007207,117737.38810219773,118484.53144140179,118904.08778693592,119402.2627404456,119919.49443580543,120395.79780740528,120759.86148794268,120935.16892581429,121144.59127826187,121108.19788909948,121144.15190884362,120988.22984283448,120792.24835064825,120432.666000423,120204.20091737488,120178.0630331527,120158.75434245891,120059.57493786134,119819.33271305532,119819.73754973168,119895.78489077663,120311.33819116133,120720.36007624667,121179.46712735285,121596.5788684591,122082.57129826989,122768.44829853908,123393.70423712034,124001.139153687,124296.0591583101,124290.34794893436,124101.43859966018,124163.19622594507,124477.0352230656,125052.63220487461,125505.51301556335,126025.74684904882,126391.86107606563,126786.60041524161,127056.413837648,127307.75881651958,126980.97999309543,126406.84661238424,125716.43946970093,125419.44674314499,125121.65882921427,124808.95897730866,124460.39523375954,123983.98318244824,123308.52043176764,122675.02091395766,122014.90312901109,121344.58284650394,120571.19427107752,120241.06159651831,120139.05801962572,120280.56235023147,120477.68975591722,120811.36059105767,121298.29568018582,121632.63441868662,121767.36463197724,121526.41597750003,121442.96390772611,121554.31752407312,121686.75043199166,121756.84918521857,121918.71182059245,122236.1015861612,122521.37271672492,122480.24984856404,121868.69928554205,120718.81646173222,119544.67493442341,118601.10130189329,117969.73035787574,117460.59255594376,116996.51270666876,116459.33670775131,115616.90672974651,114853.2338191867,114266.45539860129,113879.73044012138,113645.80700307275,113547.36501333036,113481.00296312098,113261.83074112004,112496.92057755153,111754.51125914087,111405.2889030779,111528.84559394435,111621.48377792574,111524.7566126318,111397.6553120042,111501.80197502866,111744.71060702034,112146.8436303729,112602.87226052811,112984.70027189732,113271.15775469104,113338.57441852264,113509.21802436165,113834.84455080342,114621.71825850569,115565.41491199048,116819.69097539735,118195.1347486226,119757.45935675695,121315.37090521089,122654.15774698858,123987.80438630535,125288.05530585622,126670.28334537665,128029.98450424256,129429.20283213613,130915.33304440144,132283.09025845004,133592.32639505842,134730.273366846,135967.34467257615,137183.94855760798,138348.48493352756,139444.17565564945,140826.45757289842,142375.46794861302,144131.48048025402,145773.27285467534,147460.1260431607,148993.58795883908,150376.64240908725,151717.4002647235,152937.92264679968,154156.36013590137,155123.13684189413,155973.04690032627,156870.65383812736,157896.90660406192,159131.94245772538,160259.64816381116,161153.28264220429,161936.27297921324,162643.7166175969,163412.57844841943,164002.55656571456,164444.74143689036,164878.83145465222,165334.0014021717,165972.65485422156,166597.73298373932,167131.56249316395,167527.33887797344,168114.77661732465,168861.45559463956,169472.48948149983,169966.52443498105,170251.731414637,170596.36559984766,170857.26312669922,171361.11118690448,171924.28171655315,172333.53693650474,172526.80126196836,172571.1141646659,172794.74837593499,173113.21303763424,173642.06772936616,174273.03919606222,175077.09853026932,175826.01941343574,176657.6665896559,177506.3268710955,178586.0442835236,179646.01007717612,180709.31732856078,181692.65211918962,182662.75602659574,183392.55183433797,183914.7039990438,184263.30812042198,184586.51319182434,184985.64012566852,185439.45909138594,186103.49123305266,187037.15633880728,188187.4242793574,189245.38368980764,189934.5944783969,190451.8026886674,190818.75983531412,190974.73919139325,191172.36044028183,191630.57773347656,192622.48011346927,194077.0871389258,196086.7386889408,198721.47294221204,201444.53523248024,204247.98865302137,206951.31177796205,210016.4036411493,213280.16884556634,217077.29177319715,221319.10213349888,225123.14578974203,228088.30114476048,230261.21009455365,232676.07724158323,235640.53022623798,239121.38842720375,243950.37630713792,249572.85467298632,255792.03589413036,261520.37900348226,266817.00002127193,271368.8029243587,274576.68764945277,276008.18328624306,276303.9949247103,276056.0591946481,275652.2354486683,274632.99512548064,273073.6992796181,271477.1567350191,270153.63953522476,269362.4023146098,269219.89125187375,269817.37190649146,270660.25953216635,271532.8724614242,271960.68543983647
