"","borough","neighborhood","building_class_category","tax_class","block","lot","easement","building_class","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_sqft","gross_sqft","year_built","tax_class_at_sale","building_class_at_sale","sale_price","sale_date","year_of_sale","Borough","CD","CT2010","CB2010","SchoolDist","Council","ZipCode","FireComp","PolicePrct","HealthCent","HealthArea","SanitBoro","SanitDistr","SanitSub","Address","ZoneDist1","ZoneDist2","ZoneDist3","ZoneDist4","Overlay1","Overlay2","SPDist1","SPDist2","SPDist3","LtdHeight","SplitZone","BldgClass","LandUse","Easements","OwnerType","OwnerName","LotArea","BldgArea","ComArea","ResArea","OfficeArea","RetailArea","GarageArea","StrgeArea","FactryArea","OtherArea","AreaSource","NumBldgs","NumFloors","UnitsRes","UnitsTotal","LotFront","LotDepth","BldgFront","BldgDepth","Ext","ProxCode","IrrLotCode","LotType","BsmtCode","AssessLand","AssessTot","ExemptLand","ExemptTot","YearBuilt","YearAlter1","YearAlter2","HistDist","Landmark","BuiltFAR","ResidFAR","CommFAR","FacilFAR","BoroCode","BBL","CondoNo","Tract2010","XCoord","YCoord","ZoneMap","ZMCode","Sanborn","TaxMap","EDesigNum","APPBBL","APPDate","PLUTOMapID","FIRM07_FLA","PFIRM15_FL","Version","MAPPLUTO_F","SHAPE_Leng","SHAPE_Area"
"1712",3,"DOWNTOWN-FULTON FERRY","30  WAREHOUSES","4",202,12,"","E1","46 OLD FULTON STREET","",11201,0,2,2,4687,16000,1925,4,"E1",6700000,2014-11-03,2014,"BK",302,"1","1000","13",33,11201,"E205",84,38,2300,"3","02","1B","46 OLD FULTON STREET","M2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","E1","06",0,NA,"WAR 46 LLC",4687,16000,16000,0,0,2000,0,14000,0,0,"2",1,4,0,2,41.42,98.58,41.42,98.58,NA,"0","Y","5","2",83700,557550,0,0,1925,0,0,NA,NA,3.41,0,2,0,3,3002020012,0,"0001",986096,195085,"12d",NA,"302 004","30106",NA,0,NA,"1",NA,NA,"17V1.1",0,326.618060448,4776.37806378
"1713",3,"WILLIAMSBURG-EAST","27  FACTORIES","4",2978,1,"","F9","568 MESEROLE STREET","",11237,0,1,1,60000,24825,1931,4,"F9",6700000,2014-05-09,2014,"BK",301,"449","4074","14",34,11237,"E206",90,30,900,"3","01","5A","568 MESEROLE STREET","M3-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","F5","06",0,NA,"MESEROLE STREET ASSOC",60000,24825,24825,0,0,0,0,0,24825,0,"2",4,1,0,1,200,300,160,76,NA,"0","N","3","5",668250,1260000,0,0,1931,1971,0,NA,NA,0.41,0,2,0,3,3029780001,0,"0449",1005218,198381,"13b",NA,"309 062","31003",NA,0,NA,"1",NA,NA,"17V1.1",0,1005.49785534,60821.3714423
"1714",3,"GOWANUS","30  WAREHOUSES","4",423,35,"","E9","274-280 BOND STREET","",11217,0,1,1,8500,4200,1931,4,"E1",6700000,2016-12-02,2016,"BK",306,"75","2001","15",33,11217,"E279",76,38,2500,"3","06","3C","274 BOND STREET","R6B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","E1","06",0,"P","GOWANUS PARK LLC",8500,6600,6600,0,0,0,0,6600,0,0,"2",1,2,0,1,100,85,100,85,NA,"0","N","3","5",68850,229500,0,0,1931,1999,0,NA,NA,0.78,2,0,2,3,3004230035,0,"0075",987288,187423,"16c",NA,"301 052","30203",NA,0,NA,"1",NA,NA,"17V1.1",0,376.781948151,8796.815717
"1715",3,"BENSONHURST","22 STORE BUILDINGS","4",5569,6,"","K1","6701 18TH   AVENUE","",11204,0,5,5,9980,8450,1931,4,"K1",6700000,2017-06-08,2017,"BK",311,"260","1001","20",47,11204,"L172",62,31,8120,"3","11","1D","6701 18 AVENUE","R5",NA,NA,NA,"C1-2",NA,NA,NA,NA,NA,"N","K1","05",0,NA,"6701 18TH AVENUE ASSO",9980,8450,8450,0,0,8450,0,0,0,0,"2",1,1,0,5,99.67,100,99.33,85,NA,"0","N","3","2",224550,725400,0,0,1931,0,0,NA,NA,0.85,1.25,0,2,3,3055690006,0,"0260",986667,164297,"22d",NA,"312 064","31704",NA,0,NA,"1",NA,NA,"17V1.1",0,403.472431366,10172.5867874
"1716",3,"MIDWOOD","02 TWO FAMILY HOMES","1",6758,68,"","S2","1899 CONEY ISLAND AVENUE","",11230,2,1,3,2000,4446,1925,1,"S2",6700000,2017-12-05,2017,"BK",314,"542","2001","21",48,11230,"E276",70,35,7320,"3","14","4C","1899 CONEY ISLAND AVENUE","R7A",NA,NA,NA,"C2-3",NA,NA,NA,NA,NA,"N","S2","04",0,NA,"YE HOLDINGS LLC",2000,4446,1970,2476,0,1970,0,0,0,0,"2",1,3,2,3,20,100,20,98,NA,"0","N","5","5",11959,40537,0,0,1925,0,0,NA,NA,2.22,4,0,4,3,3067580068,0,"0542",994742,161894,"22d",NA,"313 045","32008",NA,0,NA,"1",NA,NA,"17V1.1",0,244.321616945,2111.53747918
"1717",3,"BOROUGH PARK","07  RENTALS - WALKUP APARTMENTS","2A",5608,1,"","C2","1001 45TH   STREET","",11219,6,0,6,3100,6750,1925,2,"C2",6700000,2007-11-29,2007,"BK",312,"112","2000","15",39,11219,"E282",66,39,6700,"3","12","3C","1001 45 STREET","R6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","C2","02",0,"X","TRI-SENIOR HOUSING AS",3100,6750,0,6750,0,0,0,0,0,0,"2",1,3,6,6,31,100.17,25,90,NA,"0","N","3","5",2246,192786,2246,192786,1925,1983,0,NA,NA,2.18,2.43,0,4.8,3,3056080001,0,"0112",985343,172931,"22c",NA,"306A044","31705",NA,0,NA,"1",NA,NA,"17V1.1",0,262.686392427,3110.64196771
"1718",3,"MIDWOOD","07  RENTALS - WALKUP APARTMENTS","2",6721,65,"","C1","1532 OCEAN AVENUE","35",11230,35,0,35,13400,46632,1923,2,"C1",6700000,2007-12-11,2007,"BK",314,"762","2002","22",45,11230,"L156",70,35,7310,"3","14","3A","1532 OCEAN AVENUE","R7A","R2",NA,NA,NA,NA,NA,NA,NA,NA,"Y","C1","02",0,NA,"1532-1609 OCEAN AVE L",13400,46632,0,46632,0,0,0,0,0,0,"2",1,4,35,35,88.25,151.5,87,134,NA,"0","N","5","2",193050,774450,0,0,1923,0,0,NA,NA,3.48,4,0,4,3,3067210065,0,"0762",996287,166841,"23b","Y","313 028","32006",NA,0,NA,"1",NA,NA,"17V1.1",0,483.754221614,13722.7069302
"1719",3,"CROWN HEIGHTS","07  RENTALS - WALKUP APARTMENTS","2",1280,58,"","C1","991 CARROLL STREET","",11225,70,0,70,19250,55012,1925,2,"C1",6693915,2008-06-26,2008,"BK",309,"325","2000","17",35,11225,"E280",71,32,2900,"3","09","1A","991 CARROLL STREET","R6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","C1","02",0,NA,"991 CARROLL ST LLC",19250,55012,0,55012,0,0,0,0,0,0,"2",1,4,70,70,145,131,145,120,NA,"0","N","5","2",130050,1472400,0,0,1925,1983,0,NA,NA,2.86,2.43,0,4.8,3,3012800058,0,"0325",996041,182651,"16d",NA,"307 036","30503",NA,0,NA,"1",NA,NA,"17V1.1",0,558.299756657,19154.0545285
"1720",3,"WILLIAMSBURG-EAST","22 STORE BUILDINGS","4",3080,8,"","K4","130 GRAHAM AVENUE","",11206,16,1,17,2500,14250,1931,4,"K4",6686500,2017-12-19,2017,"BK",301,"493","5002","14",34,11206,"L108",90,30,800,"3","01","5B","130 GRAHAM AVENUE","R6",NA,NA,NA,"C1-3",NA,NA,NA,NA,NA,"N","K4","04",0,NA,"DEMM REALTY INC",2500,14250,7130,7120,0,2375,0,4755,0,0,"2",1,5,16,17,25,100,25,95,NA,"0","N","3","5",45000,270900,0,0,1931,2011,0,NA,NA,5.7,2.43,0,4.8,3,3030800008,0,"0493",1000158,196427,"13b",NA,"303 040","31005",NA,0,NA,"1",NA,NA,"17V1.1",0,259.748444165,2803.70805867
"1721",3,"FLATBUSH-EAST","07  RENTALS - WALKUP APARTMENTS","2",4890,7,"","C7","256 EAST 37TH STREET","42",11203,42,6,48,10600,31400,1925,2,"C7",6685605,2014-09-29,2014,"BK",317,"856","1000","17",45,11203,"E248",67,35,5520,"3","17","2A","3622 CHURCH AVENUE","R5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","C7","04",0,NA,"EAST 37 256 LLC",10600,31400,3400,28000,0,3400,0,0,0,0,"2",1,4,42,48,100,106.58,100,96.58,NA,"1","Y","3","2",453150,1160550,0,0,1925,0,0,NA,NA,2.96,1.25,0,2,3,3048900007,0,"0856",1000043,176399,"17b",NA,"310 028","31508",NA,0,NA,"1",NA,NA,"17V1.1",0,412.371019446,10617.1254322
